Reference,Component,Value,Footprint,Net1,Net2,Net3,Description
U1,Microcontroller,RP2354A,QFN-60,VSYS=+5V,IOVDD=+3.3V,DVDD=+1.1V,GND=GND,RP2354 discrete chip with 2MB stacked flash - External LDO (U4) for DVDD
U2,AC_DC_Converter,HLK-15M05C,Module,L=L_HLK,N=N_FUSED,+Vout=+5V,Isolated 5V 3A/15W power supply (via F2 2A fuse)
U3,DC_DC_Buck,TPS563200DDCR,SOT-23-6,VIN=+5V,SW=SW,FB=FB,EN=+5V,GND=GND,3.3V 3A synchronous buck converter (>90% efficient) - Output voltage set by R_FB1/R_FB2 divider
U4,LDO,TLV74311PDBVR,SOT-23-5,VIN=+3.3V,VOUT=DVDD,GND=GND,1.1V LDO for RP2354 DVDD core voltage (external, replaces internal SMPS)
U5,Voltage_Ref,LM4040DIM3-3.0,SOT-23,VREF=LM4040_VREF,GND=GND,,Precision 3.0V shunt reference (feeds U9A buffer)
U6,Op_Amp,OPA342UA,SOIC-8,VCC=+3.3V,OUT=AC_OUT,GND=GND,Level probe oscillator (Wien bridge)
U7,Comparator,TLV3201AIDBVR,SOT-23-5,VCC=+3.3V,OUT=GPIO4,GND=GND,Level probe detector with hysteresis
U8,RS485_Transceiver,MAX3485ESA+,SOIC-8,VCC=+3.3V,DI=GPIO6,RO=U8_RO,A=RS485_A,B=RS485_B,RS485 transceiver for industrial meters (DE/RE=GPIO20) - RO routed via JP4
U9,Dual_Op_Amp,OPA2342UA,SOIC-8,VCC=+3.3V,OUT_A=U9A_OUT,IN_A+=LM4040_VREF,IN_A-=U9A_OUT,VREF buffer (U9A unity-gain follower) + spare (U9B)
K1,Relay_SPST,APAN3105,Relay_SPST,Coil+=+5V,Coil-=K1_COIL,COM=J2_COM,NO=J2_NO,Mains indicator lamp relay 3A (slim 5mm)
K2,Relay_SPST,G5LE-1A4-E_DC5,Relay_SPST,Coil+=+5V,Coil-=K2_COIL,COM=J3_COM,NO=J3_NO,Pump relay 16A (high-capacity -E variant required)
K3,Relay_SPST,APAN3105,Relay_SPST,Coil+=+5V,Coil-=K3_COIL,COM=J4_COM,NO=J4_NO,Solenoid relay 3A (slim 5mm)
Q1,NPN_Transistor,MMBT2222A,SOT-23,C=K1_COIL,B=GPIO10_R,E=GND,K1 relay driver
Q2,NPN_Transistor,MMBT2222A,SOT-23,C=K2_COIL,B=GPIO11_R,E=GND,K2 relay driver
